id,sub_dist,Village,longitude,Latitude,B,POINT_X,POINT_Y,DEM,slope_pc,DEM_accu,DEM_flength,DEM_curv,DEM_Plan_Curv,DEM_Prf_Curv,landuse,LST.jan1,LST.apr7,LST.jun26,LST.sep30,NDVI_JAN4,NDVI_Apr4,preciJan2019,preciApr2019,preciJun2019,preciSep2019
5257,Mavelikkara,Noornad,76.62502,9.200105,9.00E-04,678536.0561,1017380.225,30,6.266986847,0,0,0,0,0,3,29.85000038,34.33000946,27.02999306,28.35000038,0.90648818,0.780777514,0.002988193,0.141276911,0.43450287,0.472926676
5258,Mavelikkara,Noornad,76.62618,9.246607,0.05,678640.1308,1022523.976,13,4.431428909,2,30.45487976,-0.628401995,0,0.628401995,8,29.95000648,35.40999603,25.33001137,28.14998817,0.727980077,0.520637214,0.002651908,0.141479075,0.438342303,0.482713521
5259,Mavelikkara,Noornad,76.63348,9.239698,0.08,679445.7621,1021763.497,17,7.00670433,0,0,0,0,0,8,30.05001259,35.6700058,24.67000771,27.52999306,0.811554313,0.580195963,0.002651908,0.141479075,0.438342303,0.482713521
5260,Mavelikkara,Noornad,76.61703,9.19251,0.13,677661.7854,1016536.241,25,3.963590622,13,98.75423431,-0.628401995,0,0.628401995,8,29.92998695,34.12999725,27.35000038,28.29000282,0.611497462,0.648695648,0.002515152,0.148369715,0.485214263,0.510528028
5261,Mavelikkara,Noornad,76.63286,9.238233,0.05,679378.3761,1021601.153,20,4.431428909,0,0,1.256803989,0.628401995,-0.628401995,15,30.05001259,35.6700058,24.67000771,27.52999306,0.650751233,0.532454371,0.002651908,0.141479075,0.438342303,0.482713521
5262,Mavelikkara,Noornad,76.63225,9.239342,0.09,679310.7859,1021723.504,19,0,0,0,0,0,0,15,30.05001259,35.6700058,24.67000771,27.52999306,0.825132191,0.758087218,0.002651908,0.141479075,0.438342303,0.482713521
5263,Mavelikkara,Noornad,76.63358,9.24017,0.04,679456.5114,1021815.751,15,0,3,37.84447479,0,0,0,15,30.05001259,35.6700058,24.67000771,27.52999306,0.742428541,0.605462849,0.002651908,0.141479075,0.438342303,0.482713521
5264,Mavelikkara,Noornad,76.61494,9.194975,0.026,677430.8726,1016807.836,18,0,110,261.4790955,0,0,0,8,29.92998695,34.12999725,27.35000038,28.29000282,0.806797862,0.760639846,0.002515152,0.148369715,0.485214263,0.510528028
5265,Mavelikkara,Noornad,76.63108,9.236306,0.016,679183.7573,1021387.13,17,5.777876377,0,0,1.256803989,0.785502493,-0.471301496,8,30.30999184,35.70998383,23.45000648,27.90999794,0.76695931,0.724242449,0.002651908,0.141479075,0.438342303,0.482713521
5266,Mavelikkara,Noornad,76.61711,9.193283,0.08,677670.1916,1016621.775,24,7.927181244,1,12.6148243,0,0,0,8,29.92998695,34.12999725,27.35000038,28.29000282,0.789038241,0.642042041,0.002515152,0.148369715,0.485214263,0.510528028
5267,Mavelikkara,Noornad,76.62282,9.192182,0.08,678298.2545,1016502.839,20,1.401340842,0,0,0,0,0,15,29.89000893,34.18999481,27.45000648,28.24999428,0.583613575,0.36423263,0.002515152,0.148369715,0.485214263,0.510528028
5268,Mavelikkara,Noornad,76.61528,9.194885,0.066,677468.2822,1016798.05,18,1.401340842,0,0,0,0,0,8,29.92998695,34.12999725,27.35000038,28.29000282,0.767563999,0.515905976,0.002515152,0.148369715,0.485214263,0.510528028
5269,Mavelikkara,Noornad,76.6335,9.238105,0.08,679448.7665,1021587.318,16,7.00670433,8,68.29934692,0,0,0,3,30.05001259,35.6700058,24.67000771,27.52999306,0.855241776,0.771455646,0.002651908,0.141479075,0.438342303,0.482713521
